Latitude,Longitude
43.737117,7.422909
43.73724,7.423498
43.737773,7.425919
43.737913,7.426912
43.738092,7.427512
43.738375,7.427836
43.738733,7.427843
43.739488,7.427175
43.739261,7.427309
43.73776,7.427977
43.73843,7.429314
43.739235,7.430017
43.740831,7.429304
43.740349,7.429735
43.740209,7.429639
43.740705,7.42914
43.740987,7.429077
43.740167,7.427754
43.732396,7.423052
43.732473,7.423423
43.73268,7.423432
43.734698,7.422318
43.735029,7.422238
43.732862,7.422171
43.732563,7.422407
43.736862,7.423027
43.73344,7.421753
43.733931,7.421557
43.73448,7.421372
43.735221,7.421245
43.735437,7.42122
43.735774,7.421211
43.736147,7.421261
43.736955,7.421517
43.738722,7.429629
43.739752,7.430198
43.740262,7.429731
43.74033,7.429458
43.740662,7.429359
43.740459,7.429349
43.740753,7.429126
43.741081,7.428956
43.741019,7.428633
43.73798,7.427263
43.738204,7.427671
43.738479,7.427874
43.739379,7.427202
43.739188,7.427418
43.740731,7.429302
43.7409,7.42937
43.740226,7.42969
43.740205,7.4296
43.733601,7.421693
43.737348,7.424014
43.740058,7.427647
43.739948,7.427537
43.736915,7.421473
43.736889,7.421452
43.73686,7.421445
43.741001,7.429768
43.737917,7.428415
43.732762,7.422284
43.740393,7.430329
43.734781,7.421306
43.733051,7.42247
43.732947,7.422567
43.736733,7.422188
43.733701,7.42204
43.737867,7.426431
43.740941,7.429105
43.732558,7.423492
43.732508,7.423476
43.733197,7.421862
43.732617,7.423468
43.736965,7.42397
43.735402,7.421223
43.734382,7.421396
43.738982,7.427707
43.739431,7.427179
43.739487,7.430122
43.740888,7.43036
43.740611,7.429411
43.737022,7.422117
43.739704,7.427286
43.734126,7.421481
43.737419,7.426844
43.738968,7.429849
43.740047,7.430266
43.740363,7.429723
43.740384,7.429696
43.740438,7.429605
43.740474,7.429559
43.740519,7.429509
43.74069,7.42933
43.740709,7.429315
43.74076,7.429292
43.740786,7.429291
43.740806,7.429296
43.740855,7.429317
43.740875,7.429335
43.740888,7.42935
43.740912,7.429399
43.741091,7.430213
43.740239,7.429513
43.738298,7.427773
43.737066,7.422551
43.732609,7.422391
43.735996,7.421232
43.741103,7.428886
43.74041,7.429397
43.740314,7.429746
43.741039,7.429026
43.738603,7.427871
43.732645,7.422371
43.73794,7.427084
43.736349,7.421324
43.74086,7.429119
43.740654,7.42917
43.741084,7.428704
43.740211,7.429562
43.737305,7.426175
43.738262,7.429099
43.739868,7.427454
43.740206,7.429585
43.740216,7.429664
43.740221,7.429538
43.74024,7.42971
43.740286,7.429744
43.74033,7.429743
43.740371,7.42943
43.740434,7.429375
43.740591,7.429222
43.740625,7.429192
43.740679,7.429153
43.740726,7.429132
43.740465,7.428062
43.740806,7.42912
43.740904,7.429115
43.741013,7.429055
43.741062,7.428993
43.741094,7.428925
43.741097,7.42873
43.741103,7.428744
43.741108,7.428853
43.741109,7.428769
43.741112,7.428812
43.739068,7.427602
43.739321,7.427241
43.740304,7.427891
43.740331,7.427919
43.738901,7.427761
43.738029,7.427389
43.738147,7.427596
43.738249,7.427723
43.738331,7.427804
43.738421,7.427858
43.73854,7.427876
43.738667,7.427858
43.738813,7.427809
43.738834,7.427798
43.737094,7.422766
43.737161,7.423136
43.737383,7.424196
43.73744,7.424868
43.737452,7.424941
43.73747,7.425013
43.737526,7.425186
43.737688,7.425649
43.737719,7.425738
43.737753,7.42584
43.737833,7.426222
43.732383,7.422976
43.732533,7.423487
43.732681,7.422351
43.73294,7.422098
43.737035,7.424686
43.736878,7.421446
43.736978,7.421587
43.736997,7.421683
43.737,7.421714
43.737009,7.42181
43.736901,7.423328
43.736952,7.423844
43.733839,7.421594
43.735616,7.421208
43.737712,7.427847
43.732478,7.422417
43.734428,7.421385
43.733558,7.42171
43.737419,7.424573
43.734551,7.422356
43.734312,7.42241
43.733978,7.422325
43.738628,7.429533
43.737118,7.425447
43.73451,7.421719
43.737664,7.427715
43.735027,7.421265
43.732522,7.422414
43.737401,7.424357
43.740978,7.429687
43.739591,7.427211
43.740257,7.429497
43.740301,7.429473
43.737268,7.423628
43.733076,7.421984
43.734266,7.42143
43.736229,7.421285
43.739537,7.427187
43.73719,7.425469
43.737164,7.425451
43.73702,7.424537
43.736999,7.424314
43.736972,7.424042
43.736929,7.423614
43.736892,7.42325
43.734785,7.422296
43.734736,7.422308
43.734601,7.422343
43.732669,7.423439
43.732603,7.423475
43.732585,7.422399
43.732728,7.422314
43.732772,7.422273
43.732814,7.422226
43.732888,7.422144
43.732983,7.422062
43.733023,7.422027
43.733091,7.421974
43.733135,7.421945
43.733375,7.42178
43.73357,7.421705
43.733731,7.421637
43.733901,7.421569
43.734001,7.42153
43.73436,7.421402
43.734469,7.421375
43.734545,7.421358
43.734657,7.421333
43.734728,7.421318
43.734838,7.421296
43.734983,7.421272
43.736989,7.421641
43.736558,7.421417
43.735349,7.421231
43.73558,7.42121
43.735675,7.421209
43.735823,7.421216
43.735985,7.421231
43.736067,7.421247
43.736292,7.421305
43.736983,7.421611
43.737098,7.422788
43.737163,7.423144
43.737292,7.423741
43.737428,7.424688
43.737483,7.425065
43.737656,7.425562
43.737758,7.425862
43.737796,7.426018
43.737924,7.426985
43.737972,7.427226
43.738018,7.42736
43.738064,7.427457
43.738138,7.427584
43.738394,7.427845
43.738652,7.427861
43.739005,7.427688
43.739092,7.427568
43.739237,7.427344
43.739352,7.427218
43.739656,7.427253
43.740252,7.427839
43.74106,7.428677
43.740973,7.429086
43.740554,7.429258
43.740495,7.429314
43.740545,7.429482
43.740952,7.429527
43.740347,7.430323
43.740158,7.430288
43.739903,7.430232
43.739658,7.430171
43.739362,7.43007
43.739124,7.429951
43.738852,7.429751
43.738537,7.429431
43.738341,7.429203
43.738222,7.429045
43.738116,7.428886
43.737532,7.427307
43.737224,7.425495
43.737015,7.424476
43.736897,7.423296
43.736785,7.422284
43.735538,7.42181
43.735187,7.422194
43.734753,7.422304
43.732499,7.423468
43.732485,7.42345
43.732387,7.423009
43.73281,7.422231
43.733548,7.421715
43.733983,7.421537
43.734333,7.42141
43.734679,7.421328
43.734915,7.421284
43.740254,7.430308
43.740796,7.428403
43.737177,7.425456
43.739034,7.427678
43.737009,7.425343
43.735508,7.421215
43.732508,7.422819
43.734066,7.421852
43.734174,7.422456
43.737359,7.426515
43.736767,7.422233
43.736778,7.422258
43.736751,7.422209
43.73614,7.421849
43.736448,7.421987
43.736352,7.421934
43.73584,7.421803
43.735994,7.421816
43.73569,7.421799
43.736595,7.422081
43.736668,7.422135
43.737077,7.425431
43.73704,7.425414
43.737022,7.425393
43.736991,7.425211
43.736992,7.425148
43.737,7.425114
43.737011,7.425091
43.737046,7.425022
43.737057,7.424978
43.735262,7.422103
43.734127,7.422471
43.73408,7.422472
43.734044,7.422443
43.734012,7.422403
43.733957,7.422268
43.733936,7.422228
43.733881,7.422202
43.733804,7.422218
43.733489,7.422365
43.733343,7.422458
43.733232,7.422537
43.733082,7.422674
43.732939,7.422854
43.732884,7.422942
43.732852,7.423005
43.732822,7.423074
43.732793,7.423157
43.732709,7.423389
43.732365,7.422885
43.732363,7.422825
43.732362,7.422767
43.732364,7.422639
43.732371,7.422561
43.732388,7.422507
43.732408,7.422474
43.732427,7.422449
43.732447,7.42243
43.736649,7.421443
43.736721,7.421449
43.738012,7.428652
43.74042,7.429633
43.740252,7.429723
43.740206,7.429618
43.740277,7.429482
43.738165,7.428969
43.738139,7.428929
43.738127,7.428907
43.738061,7.428772
43.738088,7.428829
43.738909,7.429802
43.732362,7.422703
43.732365,7.422602
43.735489,7.421817
43.735447,7.421829
43.735365,7.421912
43.735399,7.421867
43.735239,7.422137
43.735215,7.422165
43.735202,7.42218
43.73929,7.427274
43.739302,7.42726
43.739399,7.427192
43.739459,7.427176
43.739446,7.427177
43.739415,7.427185
43.739513,7.42718
43.739564,7.427198
43.737029,7.425405
43.737057,7.425424
43.736989,7.42518
43.737053,7.425001
43.736995,7.425131
43.73699,7.425164
43.737055,7.42499
43.73705,7.425012
43.736401,7.421959
43.736066,7.421831
43.736239,7.421886
43.733914,7.422209
43.733947,7.422246
43.732379,7.422533
43.734448,7.42138
43.733338,7.422244
43.733167,7.422362
43.732557,7.422812
43.732465,7.42283
43.734895,7.421477
43.732778,7.422775
43.732723,7.422807
43.734585,7.421676
43.73502,7.421418
43.735129,7.421361
43.735199,7.421298
43.732435,7.422849
43.7324,7.422891
43.732389,7.422915
43.735262,7.42124
43.73299,7.422781
43.733691,7.422263
43.732734,7.423333
43.733991,7.422358
43.73315,7.422606
43.732638,7.422809
43.735153,7.422211
43.736462,7.421375
43.7333,7.421812
43.741088,7.430131
43.741069,7.430312
43.74105,7.43034
43.741026,7.430356
43.741066,7.430001
43.741044,7.429907
43.741084,7.430093
43.74109,7.430172
43.740971,7.430364
43.741081,7.430284
43.740998,7.430363
43.741088,7.430249
43.74097,7.429642
